ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.9769,7.6594,2.2831,0.6667,6.544,7.2733,-3.399,-1.5504,2.1015,0.7926,1.1206,-0.853,16.82,-7.69,-33.21,35.885,14.480818,59.79,NaN,1.12,4.179349,232.0,20 / 27,9,2021-05-02 13:31:56:211
20.563,0.652,-2.9435,9.2178,-2.9563,1.5695,4.8973,-2.1765,5.8229,2.2068,-1.8102,1.3972,-7.65,2.11,-31.12,35.885,14.480805,60.05,NaN,1.55,3.80233,232.0,20 / 27,510,2021-05-02 13:31:56:712
-4.9448,0.8853,1.5347,8.9829,-3.5764,1.6395,1.7353,-1.6971,0.2995,-0.1025,-2.1341,1.3271,-27.95,11.83,-25.71,35.885,14.480805,60.05,NaN,1.55,3.80233,232.0,20 / 27,1009,2021-05-02 13:31:57:211
11.9037,-2.7141,2.1009,9.0391,-3.7325,0.7309,1.8655,-0.6042,1.6435,0.2109,-0.959,-0.4565,-30.78,7.66,-23.78,35.885,14.480794,61.37,NaN,0.0,3.790092,,20 / 27,1509,2021-05-02 13:31:57:711
1.6663,-7.081,-3.3407,2.556,-9.4462,-0.6377,0.9351,2.5178,1.123,-0.5664,0.346,0.8407,-27.33,18.96,-19.07,35.885,14.480794,61.37,NaN,0.0,3.790092,,20 / 27,2009,2021-05-02 13:31:58:211
-0.0562,-10.4949,0.0864,-3.1511,-9.2776,-0.4079,0.5844,0.2127,0.3099,0.0396,0.8132,0.3453,-5.84,33.78,-16.98,35.885,14.48078,60.62,NaN,2.02,3.790092,232.2,17 / 27,2509,2021-05-02 13:31:58:711
-1.7716,-7.4641,-1.9391,-2.1616,-8.8465,-3.6382,0.8545,0.0924,2.6313,-1.1014,0.7104,-1.2947,6.99,34.44,-15.59,35.885,14.48078,60.62,NaN,2.02,3.790092,232.2,17 / 27,3009,2021-05-02 13:31:59:211
-0.516,-8.3557,-1.8972,-0.5334,-9.3085,-3.0394,-3.1587,0.9588,0.8638,1.0262,-0.3179,0.7344,-8.81,38.78,-6.64,35.88499,14.480768,59.22,NaN,2.81,3.875481,232.1,19 / 27,3509,2021-05-02 13:31:59:711
-3.39,-9.3697,0.7029,-2.7434,-9.4077,-0.3735,-2.0169,1.0251,0.3048,0.3715,0.5269,0.1356,-9.39,38.65,-9.38,35.88499,14.480768,59.22,NaN,2.81,3.875481,232.1,19 / 27,4009,2021-05-02 13:32:00:211
-1.0304,-10.0065,-0.9957,-3.7833,-9.0475,0.0278,3.9996,-0.7777,0.8399,-0.7077,-0.6064,-0.1388,-4.44,38.1,-13.48,35.884987,14.480758,59.11,NaN,2.16,3.905518,252.0,19 / 27,4595,2021-05-02 13:32:00:797
-5.097,-12.5767,0.4286,-2.1486,-9.5526,-0.5496,0.0,0.0,0.0,-1.3541,-0.0049,-0.5218,-2.73,38.15,-14.21,35.884987,14.480758,59.11,NaN,2.16,3.905518,252.0,19 / 27,4680,2021-05-02 13:32:00:882
-5.2932,-8.959,0.1774,-0.6528,-9.5483,2.1387,0.0,0.0,0.0,0.232,0.1871,0.199,-15.79,39.34,-3.71,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,5314,2021-05-02 13:32:01:516
-5.2932,-8.959,0.1774,-0.6528,-9.5483,2.1387,0.0,0.0,0.0,0.232,0.1871,0.199,-15.79,39.34,-3.71,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,5314,2021-05-02 13:32:01:516
-3.5719,-9.1687,0.3401,-3.3316,-9.2188,0.2927,0.0,0.0,0.0,0.0269,0.8668,0.2857,-14.55,39.74,-4.25,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,5756,2021-05-02 13:32:01:958
-4.0531,-16.9292,-5.8367,-1.9186,-9.2549,-2.6145,0.0,0.0,0.0,0.1504,0.1122,0.1982,4.1,39.89,-10.63,35.884983,14.480747,59.45,NaN,3.2,3.836436,252.1,20 / 27,6132,2021-05-02 13:32:02:334
0.4143,3.0317,-1.8721,-2.8285,-9.354,-0.8201,1.4416,-2.4204,-0.983,3.1558,-3.3549,2.3159,2.56,40.64,-6.83,35.884975,14.480745,59.53,NaN,3.53,3.790092,252.1,20 / 27,6642,2021-05-02 13:32:02:844
1.4067,-15.0676,6.5743,-0.2492,-9.385,-2.8339,1.9123,-5.0705,1.2059,1.4486,7.1219,-1.5587,9.3,38.94,-9.82,35.884975,14.480745,59.53,NaN,3.53,3.790092,252.1,20 / 27,7113,2021-05-02 13:32:03:315
-10.6358,-0.0568,10.5293,4.3744,-8.2141,-3.0926,12.4349,0.0871,1.386,1.1371,-5.1459,0.2043,10.15,38.63,13.55,35.88497,14.48076,59.66,NaN,5.26,3.790092,252.1,20 / 27,7573,2021-05-02 13:32:03:775
-6.7968,-4.9334,-2.5819,-1.9828,-8.9985,-3.3564,5.8958,-25.23,7.5564,1.5019,-1.631,1.4503,18.39,34.07,12.43,35.88497,14.48076,59.66,NaN,5.26,3.790092,252.1,20 / 27,8104,2021-05-02 13:32:04:306
-0.0706,9.2803,2.0662,4.9552,-6.3003,-5.65,-14.7524,0.1188,7.26,0.939,-0.9995,1.4776,19.31,30.76,-2.95,35.88497,14.48076,59.66,NaN,5.26,3.790092,252.1,20 / 27,8575,2021-05-02 13:32:04:777
-0.9108,-0.5752,0.2743,-2.7629,-9.3963,0.4968,8.25,-4.2695,-7.5723,-2.1998,2.211,-2.5462,12.66,32.71,-11.35,35.88497,14.48076,59.66,NaN,5.26,3.790092,252.1,20 / 27,9072,2021-05-02 13:32:05:274
11.3925,-18.8288,0.035,-0.1452,-9.8055,0.0405,-0.452,0.9316,2.0805,0.035,0.306,2.0019,16.2,28.87,-17.67,35.88499,14.480765,60.02,NaN,8.32,3.790092,346.1,20 / 27,9572,2021-05-02 13:32:05:774
-4.6205,-12.0918,-6.0437,4.972,-4.4915,-7.1607,0.0,0.0,0.0,-3.5591,1.9927,-3.5431,18.68,26.21,-18.86,35.88499,14.480765,60.02,NaN,8.32,3.790092,346.1,20 / 27,10072,2021-05-02 13:32:06:274
-30.0841,-4.8736,8.3689,7.3517,-6.0982,-2.2217,-23.3501,-45.8835,7.6243,-9.7339,-11.4615,2.314,25.36,21.2,-5.21,35.885017,14.480749,59.22,NaN,10.48,3.790092,335.7,20 / 27,10572,2021-05-02 13:32:06:774
9.9727,-23.9617,-18.7493,-2.1373,-8.6724,-4.0487,-22.4162,-12.6776,7.9132,3.7674,-0.1581,2.6098,18.37,32.23,11.97,35.885017,14.480749,59.22,NaN,10.48,3.790092,335.7,20 / 27,11073,2021-05-02 13:32:07:275
-8.4344,-0.6206,5.6097,-0.3691,-9.6152,-1.8925,-8.2006,-10.669,3.1236,0.348,-3.4524,-1.8448,20.78,29.02,-16.46,35.885044,14.480737,59.1,NaN,11.45,3.790092,345.3,20 / 27,11574,2021-05-02 13:32:07:776
-2.0216,1.0397,-1.3836,-3.284,-9.233,0.3698,7.6874,10.7497,-3.5434,-2.3429,0.9508,-0.8999,5.78,36.25,-15.02,35.885044,14.480737,59.1,NaN,11.45,3.790092,345.3,20 / 27,12073,2021-05-02 13:32:08:275
-6.8183,-8.7269,7.6469,-0.7146,-9.6595,-1.534,-3.4097,9.1045,-2.91,1.0354,-0.8807,1.5511,-4.89,37.76,-10.83,35.885063,14.480718,59.37,NaN,9.72,3.790092,322.5,19 / 27,12572,2021-05-02 13:32:08:774
-6.7693,-6.23,3.5339,0.9348,-9.5789,-1.882,-0.7833,-14.0486,2.1984,-1.1912,-2.141,-1.9391,-12.26,37.04,-8.92,35.885063,14.480718,59.37,NaN,9.72,3.790092,322.5,19 / 27,13072,2021-05-02 13:32:09:274
-1.9008,-27.3422,-5.3327,-2.8267,-9.3775,-0.4928,0.0,0.0,0.0,1.2996,-0.7646,2.1844,-19.35,36.1,-2.0,35.885075,14.480694,59.54,NaN,9.18,3.790092,307.9,20 / 27,13575,2021-05-02 13:32:09:777
0.382,-19.8763,-7.6765,-1.1646,-9.728,-0.4253,1.7032,0.3855,1.2839,0.3063,-0.5046,-0.8332,-21.53,34.34,9.43,35.885075,14.480694,59.54,NaN,9.18,3.790092,307.9,20 / 27,14072,2021-05-02 13:32:10:274
-8.6474,-6.8046,2.6288,1.7703,-9.5417,-1.4113,-4.7504,0.6191,3.3996,1.2455,-0.7892,0.6869,-15.49,35.31,18.23,35.88509,14.48067,59.86,NaN,8.75,4.292726,297.5,20 / 27,14572,2021-05-02 13:32:10:774
1.1767,2.4141,-1.3143,-2.3836,-9.3252,1.8789,3.3151,-1.3639,-4.5806,-2.396,0.2075,-2.5129,-12.58,31.67,26.5,35.88509,14.48067,59.86,NaN,8.75,4.292726,297.5,20 / 27,15072,2021-05-02 13:32:11:274
3.5554,-19.0923,6.3888,0.1679,-9.7826,-0.6659,-7.6036,-5.1934,1.6138,0.4368,-0.9801,2.0833,-7.42,29.65,30.49,35.88509,14.480649,58.9,NaN,7.56,4.101061,286.5,20 / 27,15572,2021-05-02 13:32:11:774
-4.1584,3.1825,-0.0715,1.385,-9.5284,-1.8606,-9.2624,7.8609,2.8181,0.3447,-0.9184,1.9785,1.17,31.22,29.56,35.88509,14.480649,58.9,NaN,7.56,4.101061,286.5,20 / 27,16072,2021-05-02 13:32:12:274
0.4406,-3.5833,-0.676,-2.5401,-9.4279,0.9127,7.207,9.9667,-3.8672,-0.1083,-2.7551,1.083,14.98,27.58,27.24,35.8851,14.480637,56.58,NaN,9.4,4.164779,327.3,20 / 27,16572,2021-05-02 13:32:12:774
-5.5998,-4.6307,1.6295,-0.5681,-9.6729,-1.5108,2.3844,-12.5848,11.0972,1.3071,-2.0653,-0.5928,26.49,26.74,12.79,35.8851,14.480637,56.58,NaN,9.4,4.164779,327.3,20 / 27,17071,2021-05-02 13:32:13:273
11.444,-26.3593,-9.4373,-0.1225,-9.665,-1.656,-3.8672,-0.0026,-0.0661,0.1451,1.6132,-0.4415,6.56,31.21,-19.91,35.885113,14.480631,54.84,NaN,8.28,4.069244,332.0,20 / 27,17572,2021-05-02 13:32:13:774
8.7709,-4.9813,4.8972,-2.2632,-8.6247,-4.082,2.582,2.5475,-3.2654,0.6904,1.0736,-0.1639,11.99,32.54,-15.8,35.885113,14.480631,54.84,NaN,8.28,4.069244,332.0,20 / 27,18071,2021-05-02 13:32:14:273
0.5447,-9.6129,0.3209,-0.2965,-9.7895,-0.4977,2.6344,-0.3283,0.8685,0.2708,1.1382,0.1051,27.39,30.32,4.6,35.885128,14.480624,54.64,NaN,10.48,4.173018,335.0,20 / 27,18572,2021-05-02 13:32:14:774
-0.4427,-8.7784,-3.0823,0.544,-9.662,-1.5875,-2.4752,0.557,2.4455,-0.97,-0.903,-1.3628,27.19,29.21,10.68,35.885128,14.480624,54.64,NaN,10.48,4.173018,335.0,20 / 27,19072,2021-05-02 13:32:15:274
0.0455,-13.3187,0.8345,1.0508,-9.5783,-1.8227,-2.4356,-1.9023,-4.9225,0.8582,1.789,0.4193,22.31,32.0,14.87,35.88514,14.480613,51.87,NaN,10.55,4.141621,321.4,19 / 27,19573,2021-05-02 13:32:15:775
1.2176,-10.0496,-0.8809,0.2841,-9.7712,-0.7831,-2.5314,1.5797,-0.8287,0.1762,0.8515,0.3647,25.19,32.02,9.99,35.88514,14.480613,51.87,NaN,10.55,4.141621,321.4,19 / 27,20160,2021-05-02 13:32:16:362
-0.821,-10.4865,0.3245,0.8163,-9.6682,-1.4246,-0.5444,-0.5024,2.112,-1.1962,-0.3433,-0.9201,27.41,29.76,11.32,35.885136,14.480607,49.56,NaN,9.61,3.902884,316.0,19 / 27,20572,2021-05-02 13:32:16:774
12.0951,-12.02,0.1307,-3.0E-4,-9.5129,-2.3823,-5.2264,1.1105,-1.1742,-0.066,-0.3412,0.864,23.55,34.44,3.04,35.885136,14.480607,49.56,NaN,9.61,3.902884,316.0,19 / 27,21072,2021-05-02 13:32:17:274
-0.2512,-10.3418,-1.0866,-0.6222,-9.7848,0.2029,0.9814,-0.3005,-0.5452,-0.1535,-0.2987,-0.0557,19.39,33.44,-16.67,35.885136,14.480607,49.56,NaN,9.61,3.902884,316.0,19 / 27,21576,2021-05-02 13:32:17:778
-1.4435,-9.7026,-0.6257,-0.6758,-9.7832,0.041,-0.5899,0.2226,-0.081,-0.0284,-0.0829,0.0455,15.79,31.95,-22.77,35.885136,14.480607,49.56,NaN,9.61,3.902884,316.0,19 / 27,22072,2021-05-02 13:32:18:274
-1.4961,-9.9072,-1.835,-0.9904,-9.7432,-0.5093,-0.0737,0.0627,-0.2666,-0.0815,-0.0582,0.0241,14.48,32.53,-22.9,35.88508,14.480672,53.42,NaN,0.0,3.790092,,19 / 27,22572,2021-05-02 13:32:18:774
-1.2485,-9.6033,-1.4231,-1.0135,-9.6885,-1.1294,-0.0242,0.0885,-0.1021,-0.0186,-0.0713,-0.0078,13.79,33.83,-21.41,35.88508,14.480672,53.42,NaN,0.0,3.790092,,19 / 27,23072,2021-05-02 13:32:19:274
-1.1898,-9.6703,-1.3334,-1.1096,-9.6687,-1.2063,-0.0637,0.0619,-0.068,-0.0199,-0.0017,0.0195,13.76,34.15,-21.06,35.885044,14.480712,53.2,NaN,0.0,3.835361,,19 / 27,23575,2021-05-02 13:32:19:777
-1.3968,-9.6308,-1.1824,-1.2699,-9.6501,-1.1973,-0.0421,0.0219,-0.0361,0.0272,0.0058,0.0241,14.26,34.03,-20.96,35.885044,14.480712,53.2,NaN,0.0,3.835361,,19 / 27,24071,2021-05-02 13:32:20:273
-1.4351,-9.888,-1.3238,-1.2958,-9.6809,-0.8784,0.1231,0.0449,0.177,0.0463,0.1362,-0.0628,14.8,33.39,-21.52,35.885036,14.480723,53.2,NaN,0.0,3.887055,,19 / 27,24575,2021-05-02 13:32:20:777
0.0864,-9.8462,-0.9491,-1.5878,-9.6299,-0.9561,1.5685,-0.2723,0.1274,-0.2317,-0.5204,0.0501,14.86,32.9,-22.07,35.885036,14.480723,53.2,NaN,0.0,3.887055,,19 / 27,25072,2021-05-02 13:32:21:274
2.0016,-10.1216,-1.3813,-0.001,-9.3161,-3.0627,0.923,-1.1105,0.7289,-0.341,-0.1822,-1.4564,8.03,36.8,-18.46,35.885036,14.480723,53.2,NaN,0.0,3.887055,,19 / 27,25572,2021-05-02 13:32:21:774
1.1503,-9.6045,5.5104,1.0394,-9.6186,-1.6038,4.3358,-1.3491,-0.0684,0.8541,-0.0588,0.7002,-13.7,34.45,-15.02,35.885036,14.480723,53.2,NaN,0.0,3.887055,,19 / 27,26072,2021-05-02 13:32:22:274
-0.2118,-9.39,0.8369,-1.1468,-9.7392,0.0512,0.8889,0.2839,0.7404,0.5824,-0.3754,0.4725,-14.35,34.04,-17.23,35.885036,14.480723,53.2,NaN,0.0,3.887055,,19 / 27,26575,2021-05-02 13:32:22:777
-1.2197,-8.6767,-2.5519,1.3998,-9.3289,-2.6801,-1.9104,-1.9587,1.4017,-0.8491,0.0805,-1.2919,-17.73,33.48,-13.15,35.885036,14.480723,53.2,NaN,0.0,3.887055,,19 / 27,27072,2021-05-02 13:32:23:274
2.2457,-11.0109,4.0965,0.0276,-9.73,-1.2232,-0.1798,1.4072,2.9049,0.1297,-1.0896,0.5989,-18.28,32.12,-14.48,35.885025,14.480718,55.94,NaN,3.06,3.790092,250.9,18 / 27,27572,2021-05-02 13:32:23:774
1.0379,-9.693,3.8453,-1.0996,-9.6733,-1.1784,1.8281,-0.1524,2.0385,-0.3691,0.3512,0.1129,-9.45,33.1,-19.82,35.885025,14.480718,55.94,NaN,3.06,3.790092,250.9,18 / 27,28073,2021-05-02 13:32:24:275
-0.7744,-9.3924,-2.1532,-0.2683,-8.9254,-4.0541,-1.1289,0.7712,3.1192,-0.1038,2.0002,0.9882,0.63,36.51,-14.62,35.885025,14.480718,55.94,NaN,3.06,3.790092,250.9,19 / 27,28574,2021-05-02 13:32:24:776
0.8668,-7.6711,-0.3876,0.0929,-9.8026,-0.2655,4.096,-1.3174,0.3472,-0.4523,-0.5137,-0.0628,17.15,33.45,-15.77,35.885025,14.480718,55.94,NaN,3.06,3.790092,250.9,19 / 27,29072,2021-05-02 13:32:25:274
-5.7482,-13.0448,-12.0924,-0.9875,-9.151,-3.3846,1.0614,0.6712,-2.2802,-0.4994,2.3776,-0.2265,13.75,36.38,-11.93,35.885017,14.480717,57.63,NaN,2.81,3.790092,185.6,18 / 27,29575,2021-05-02 13:32:25:777
0.7017,-13.7438,-0.5192,-0.1818,-9.7931,0.4825,-2.1103,-0.6483,-1.9428,0.6441,0.877,0.2285,14.93,36.14,-10.65,35.885017,14.480717,57.63,NaN,2.81,3.790092,185.6,18 / 27,30072,2021-05-02 13:32:26:274
-0.2225,-9.9503,0.5797,0.9088,-9.6098,-1.7308,-1.56,-0.2398,2.4592,-1.05,-0.4752,-0.2074,16.08,33.18,-18.68,35.885002,14.480717,58.28,NaN,3.82,3.790092,201.6,19 / 27,30575,2021-05-02 13:32:26:777
0.2025,-10.6914,-0.7804,1.9049,-9.131,-3.0277,-1.1732,1.3726,0.7733,2.0665,-0.1492,1.572,11.25,39.93,-8.1,35.885002,14.480717,58.28,NaN,3.82,3.790092,201.6,19 / 27,31072,2021-05-02 13:32:27:274
0.1475,-8.843,0.2468,0.8524,-9.7616,0.3948,-0.6145,2.8004,-0.4692,-0.044,-0.6608,-0.2443,18.18,31.84,-20.52,35.88499,14.48072,58.79,NaN,4.32,3.790092,183.9,18 / 27,31575,2021-05-02 13:32:27:777
3.3924,-8.1882,-7.2084,2.4038,-9.2582,-2.1628,-2.7678,0.1221,0.1099,-2.2049,0.1997,-2.4906,8.0,35.18,-20.09,35.88499,14.48072,58.79,NaN,4.32,3.790092,183.9,18 / 27,32072,2021-05-02 13:32:28:274
-10.078,-6.3317,2.3824,2.3167,-9.133,-2.7188,2.2901,1.0701,9.9584,-0.4736,1.0508,1.5158,-6.53,37.91,-15.35,35.884975,14.480726,58.11,NaN,4.5,3.790092,167.9,19 / 27,32572,2021-05-02 13:32:28:774
5.8382,8.866,-15.6787,2.8563,-8.5911,-3.769,-6.3783,2.7363,-6.7074,1.8127,0.047,4.6666,-7.37,39.13,-13.11,35.884975,14.480726,58.11,NaN,4.5,3.790092,167.9,19 / 27,33128,2021-05-02 13:32:29:330
2.4314,-19.9325,2.8289,0.4536,-9.3795,-2.8267,5.6495,-22.947,-4.6222,2.7569,3.1442,0.2234,12.66,39.15,-7.31,35.884964,14.480746,58.19,NaN,7.38,3.790092,128.4,19 / 27,33573,2021-05-02 13:32:29:775
-17.3943,-7.5323,0.9482,0.9581,-4.5579,-8.63,4.5383,4.1051,22.2336,2.2331,-4.0331,1.6329,8.95,23.14,26.49,35.884964,14.480746,58.19,NaN,7.38,3.790092,128.4,19 / 27,34072,2021-05-02 13:32:30:274
8.7254,-21.3368,-2.1018,-1.7583,-9.5977,-0.9815,-1.4453,-3.5786,-4.0637,0.815,-0.8031,3.942,15.97,24.71,33.73,35.88496,14.480771,58.81,NaN,7.02,3.790092,96.5,18 / 27,34576,2021-05-02 13:32:30:778
-9.5596,1.5843,5.8825,3.5105,-9.1444,-0.4753,-11.6492,-2.25,6.8193,-1.2338,-3.8799,-2.8423,28.33,27.05,18.28,35.88496,14.480771,58.81,NaN,7.02,3.790092,96.5,18 / 27,35072,2021-05-02 13:32:31:274
3.213,-2.3874,0.3628,-2.1426,-9.1843,2.6885,9.5405,11.1211,-2.9225,-2.3321,0.0742,-2.5411,32.84,27.4,5.19,35.884964,14.480792,59.29,NaN,6.23,3.790092,80.9,19 / 26,35572,2021-05-02 13:32:31:774
4.7309,-14.8008,-4.6143,-3.0558,-8.9363,2.6411,12.3243,-17.9015,-9.098,1.4967,-0.7709,0.7936,26.62,33.07,5.83,35.884964,14.480792,59.29,NaN,6.23,3.790092,80.9,19 / 26,36073,2021-05-02 13:32:32:275
2.4422,-7.7321,-1.7402,2.2918,-9.4008,-1.5947,-13.5379,12.5017,-4.3899,0.1608,-0.7886,0.2917,29.32,29.45,1.5,35.884983,14.480811,58.47,NaN,10.15,3.790092,34.6,19 / 27,36573,2021-05-02 13:32:32:775
9.731,-10.8601,-1.2724,0.4881,-9.7943,0.0545,3.423,2.7942,-2.0755,-0.4699,-0.8283,-2.4561,29.26,29.59,-0.82,35.884983,14.480811,58.47,NaN,10.15,3.790092,34.6,19 / 27,37072,2021-05-02 13:32:33:274
8.4921,1.6959,0.4167,-3.9609,-8.8922,1.1877,5.0695,5.2535,-5.3764,-2.2838,0.9526,-1.8704,29.18,28.85,3.11,35.885014,14.480825,58.13,NaN,10.66,3.790092,17.5,19 / 27,37572,2021-05-02 13:32:33:774
-2.4036,-36.964,-10.9696,1.19,-9.5655,-1.8045,-2.1377,2.3259,3.279,1.2359,-0.4085,1.4253,26.33,31.76,-1.95,35.885014,14.480825,58.13,NaN,10.66,3.790092,17.5,19 / 27,38072,2021-05-02 13:32:34:274
-9.4469,6.1908,-0.3242,2.2832,-9.2471,-2.3341,-10.6275,8.9966,5.463,0.5128,-0.2859,0.1767,27.44,30.12,-5.05,35.885036,14.480834,57.48,NaN,10.22,3.790092,9.1,19 / 27,38572,2021-05-02 13:32:34:774
-23.359,-45.0359,23.4132,-3.3688,-8.6335,-3.2068,19.7331,11.3516,6.2932,-1.8437,-11.5304,5.9183,26.12,26.64,6.89,35.885036,14.480834,57.48,NaN,10.22,3.790092,9.1,19 / 27,39072,2021-05-02 13:32:35:274
5.4335,-1.8081,-5.9587,-3.532,-9.147,0.1697,10.4131,2.3939,-1.5567,0.5847,-2.6001,-0.9238,13.63,36.8,-0.54,35.885067,14.48084,57.26,NaN,11.74,3.790092,0.6,19 / 27,39572,2021-05-02 13:32:35:774
-7.1055,-24.492,10.9819,1.4956,-9.6657,-0.713,-6.4869,12.4686,0.0093,0.5256,1.0684,1.6685,-8.1,35.4,-8.98,35.885067,14.48084,57.26,NaN,11.74,3.790092,0.6,19 / 27,40072,2021-05-02 13:32:36:274
-6.3275,-4.0466,2.2424,3.7652,-9.0404,-0.514,-3.1949,-33.2074,-2.2338,0.8249,-0.3972,0.5911,-10.72,33.66,-15.73,35.885098,14.480831,58.02,NaN,11.48,3.790092,333.9,19 / 27,40576,2021-05-02 13:32:36:778
9.4723,0.7107,-4.247,-0.8631,-9.282,3.0445,7.697,10.5745,-8.219,1.7153,-0.7671,1.1537,-20.79,32.66,-11.54,35.885098,14.480831,58.02,NaN,11.48,3.790092,333.9,19 / 27,41073,2021-05-02 13:32:37:275
-8.3372,-29.6082,-0.4953,2.5427,-9.4285,-0.8993,-6.6364,9.7898,-2.7962,1.1304,-1.1165,0.9002,-26.44,28.44,-9.27,35.885113,14.480803,59.16,NaN,10.69,3.790092,308.9,19 / 27,41575,2021-05-02 13:32:37:777
-6.4316,-3.4624,0.4373,4.678,-8.5517,-1.0752,2.2153,-13.3414,0.2971,0.7332,1.2825,1.5926,-23.08,28.78,-11.98,35.885113,14.480803,59.16,NaN,10.69,3.790092,308.9,19 / 27,42073,2021-05-02 13:32:38:275
-0.4092,1.6657,-2.5986,-0.1144,-9.5325,2.2996,2.589,10.9649,-3.1889,-0.2103,-1.5392,0.0066,-26.36,27.34,-8.41,35.88512,14.480776,60.26,NaN,9.32,3.790092,297.1,20 / 27,42572,2021-05-02 13:32:38:774
4.1372,-22.9537,10.9089,2.0153,-9.5917,-0.3297,2.0106,5.9608,1.616,1.0282,-0.7187,1.9066,-30.6,25.53,-3.29,35.88512,14.480776,60.26,NaN,9.32,3.790092,297.1,20 / 27,43072,2021-05-02 13:32:39:274
-2.8645,-5.3118,0.1271,3.6158,-9.0536,-1.0628,1.1227,-1.5494,1.7948,0.2578,0.1655,1.8657,-28.85,27.23,-0.96,35.885105,14.480761,59.97,NaN,6.12,3.790092,217.7,20 / 27,43573,2021-05-02 13:32:39:775
4.002,-4.8006,6.2812,0.7462,-9.7705,0.3875,4.1389,8.7646,-3.4586,-1.2238,1.3327,-0.3616,-30.72,25.75,2.75,35.885105,14.480761,59.97,NaN,6.12,3.790092,217.7,20 / 27,44072,2021-05-02 13:32:40:274
-3.5922,-18.277,6.8426,3.8435,-8.9352,-1.2492,-4.7418,-8.3868,-2.6597,-0.3135,0.0573,-0.0893,-32.96,22.59,1.24,35.885082,14.48075,59.9,NaN,6.48,3.790092,211.7,19 / 27,44572,2021-05-02 13:32:40:774
3.7122,-11.2158,-3.5527,0.6623,-9.739,0.94,0.2933,0.6076,0.3644,-1.8191,-0.4445,-2.5827,-28.77,26.17,-3.81,35.885082,14.48075,59.9,NaN,6.48,3.790092,211.7,19 / 27,45072,2021-05-02 13:32:41:274
-5.0862,-14.6297,-6.0281,3.2779,-9.1725,-1.136,-0.9535,3.3433,0.624,1.6568,0.0188,1.2295,-33.95,20.01,-1.82,35.885067,14.480743,60.59,NaN,4.75,3.790092,208.2,20 / 27,45572,2021-05-02 13:32:41:774
3.3123,-8.9761,-3.2103,0.6881,-9.7509,0.786,1.6107,0.6014,-0.3677,0.0913,0.0855,0.7649,-29.79,25.13,-5.43,35.885067,14.480743,60.59,NaN,4.75,3.790092,208.2,20 / 27,46073,2021-05-02 13:32:42:275
0.3018,-4.8078,-0.4499,4.6397,-8.2226,-2.652,-6.9765,1.426,0.1763,0.6336,-0.055,1.3652,-30.17,24.23,-1.1,35.885056,14.480737,60.44,NaN,3.85,3.790092,210.3,20 / 27,46576,2021-05-02 13:32:42:778
1.1527,-9.2285,0.4804,2.0813,-9.4747,-1.438,-3.3385,0.313,1.5979,-0.9835,2.0746,0.1055,-32.68,22.42,0.84,35.885056,14.480737,60.44,NaN,3.85,3.790092,210.3,20 / 27,47073,2021-05-02 13:32:43:275
1.8712,-12.8136,-2.4754,2.5103,-9.1052,-2.6389,4.4913,4.2991,4.7321,0.1286,1.7635,2.2129,-11.32,34.66,-11.36,35.885044,14.480733,59.95,NaN,4.1,3.790092,197.7,20 / 27,47573,2021-05-02 13:32:43:775
2.0566,-9.1304,-0.7074,1.0143,-9.7498,-0.2867,0.1775,3.7017,-0.1444,-0.0156,-0.2799,-0.4365,13.32,35.05,-13.15,35.885044,14.480733,59.95,NaN,4.1,3.790092,197.7,20 / 27,48072,2021-05-02 13:32:44:274
0.1032,-2.3731,1.8855,2.2623,-8.8975,-3.4477,0.8163,3.887,1.0774,-0.2973,1.2661,1.3081,7.88,36.86,-10.46,35.885036,14.480742,59.39,NaN,4.64,3.790092,128.1,20 / 27,48576,2021-05-02 13:32:44:778
6.0643,-7.5873,1.1626,-0.7168,-9.7654,0.5417,-1.1538,-1.182,0.7994,0.5455,-0.0638,0.3286,20.41,33.31,-1.73,35.885036,14.480742,59.39,NaN,4.64,3.790092,128.1,20 / 27,49072,2021-05-02 13:32:45:274
-3.4187,-15.81,2.4111,0.5324,-9.7756,0.5705,4.9178,-6.06,2.8911,-1.5603,-2.2713,-0.9418,20.87,33.73,10.1,35.885025,14.480754,58.58,NaN,3.78,3.790092,163.3,20 / 27,49575,2021-05-02 13:32:45:777
