ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),YYYY-MO-DD HH-MI-SS_SSS
4.7237,-3.0888,-6.2927,3.6056,-5.9239,-6.9338,3.6291,0.4245,-0.8086,0.3702,-0.684,1.0296,40.4803,-33.53,5.09,14.8,239.03,35.21,-150.07,2021-03-19 12:20:10:374
-0.1028,-10.1071,-5.1495,3.3518,-7.6907,-5.0783,2.9815,-0.7723,-1.0504,0.2872,-0.3654,0.1411,11.338,-36.38,6.78,10.07,234.11,51.65,-146.57,2021-03-19 12:20:10:875
-6.3873,-10.1861,-4.2086,3.5212,-8.2629,-3.9366,5.3682,-0.6805,2.3195,-0.2006,-0.4934,0.2379,2.1352,-36.81,10.13,13.09,218.75,57.41,-138.19,2021-03-19 12:20:11:374
0.0372,-1.5865,0.236,3.3942,-8.4894,-3.5467,0.3997,-0.0733,-2.1736,1.3931,0.1544,0.1497,12.8718,-36.13,3.45,17.49,211.85,53.85,-140.5,2021-03-19 12:20:11:875
18.7423,-17.2775,-10.0119,3.0229,-7.4022,-5.678,0.5107,-0.4919,-0.3464,-0.3848,0.5674,-0.481,12.8718,-22.55,9.74,27.48,192.2,49.63,-146.7,2021-03-19 12:20:12:374
3.6499,-22.2979,-6.3154,2.4731,-6.3937,-7.0125,3.9178,0.7866,-3.269,1.0584,0.758,-0.8002,2.1352,-35.32,10.43,31.3,229.97,40.69,-160.57,2021-03-19 12:20:12:875
67.8094,-37.2107,-18.4104,2.6386,-7.0002,-6.3407,-3.4704,-0.9832,3.4118,-0.9633,-1.0664,1.3913,2.1352,-18.46,4.4,30.31,193.09,45.55,-157.41,2021-03-19 12:20:13:375
15.2565,-14.9289,-8.9824,2.3222,-7.1308,-6.3189,-3.7263,-1.8055,7.4031,0.9026,-0.8452,1.2489,2.1352,-24.24,5.79,29.08,203.69,36.97,-152.07,2021-03-19 12:20:13:874
6.5576,-1.6823,-8.1744,2.7766,-6.2975,-6.9858,4.3199,4.3233,-2.7109,-0.1066,0.0866,0.6112,2.1352,-23.76,3.83,28.09,200.05,43.23,-151.83,2021-03-19 12:20:14:374
-6.1431,-6.9326,3.2287,2.4688,-6.5936,-6.8264,-4.5283,2.0976,-3.9972,1.07,-1.6268,1.0021,0,-24.96,-0.83,25.73,212.64,42.25,-160.12,2021-03-19 12:20:14:875
