ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),YYYY-MO-DD HH-MI-SS_SSS
0.8321,-7.5419,-3.5047,2.1887,-6.3277,-7.1652,2.2651,-1.5806,-2.5649,-0.0033,-0.9604,0.8375,0,0.79,36.93,3.34,3.94,40.18,-163.01,2021-03-19 12:20:49:374
3.2764,-7.6496,-8.3193,3.059,-6.3974,-6.774,-1.0969,1.4367,0.3176,-0.3518,-1.5972,-0.6707,40.4803,2.38,40.48,5.7,9.12,38.14,-151.5,2021-03-19 12:20:49:875
5.9267,-10.9846,-8.9358,3.135,-4.5835,-8.0829,6.0184,0.1508,3.9609,-0.3582,0.7171,0.8812,8.2704,3.18,40.16,5.73,8.49,27.86,-158.8,2021-03-19 12:20:50:374
0.5986,-5.5236,-8.9214,3.2237,-6.4617,-6.6351,-3.9051,2.6311,-1.9891,0.5627,0.302,-0.1759,2.1352,8.96,38.79,9.77,25.61,41.22,-154.09,2021-03-19 12:20:50:874
6.0775,-4.3182,-4.9065,3.4248,-4.859,-7.7994,-3.8888,0.7534,4.1976,-0.8145,-1.231,1.2782,9.7643,9.45,35.51,13.32,26.37,29.7,-156.29,2021-03-19 12:20:51:374
4.5609,-3.6886,2.9845,4.2623,-4.8375,-7.3893,0.0589,0.1919,1.7207,-1.1548,-0.3352,-2.3326,9.7643,10.29,30.29,21.38,44.36,29.56,-150.02,2021-03-19 12:20:51:875
5.163,-4.8461,-10.1771,3.7337,-4.6955,-7.7577,0.8952,-0.2226,2.3764,-0.0192,-0.9066,0.5843,150.8741,3.61,28.37,24.75,44.64,28.61,-154.3,2021-03-19 12:20:52:375
-1.3394,-17.6581,-6.6602,2.3931,-4.0111,-8.6229,-3.7694,3.3853,1.2732,0.2798,0.874,0.5379,150.8741,14.23,34.16,21.12,38.2,24.14,-164.49,2021-03-19 12:20:52:875
1.1349,-6.9421,-3.634,1.6644,-4.0525,-8.7737,7.9021,-2.0961,-2.3271,-0.6802,0.7888,1.4065,11.2065,20.25,25.46,21.52,57.08,24.41,-169.26,2021-03-19 12:20:53:374
-3.3337,-7.6723,-7.8117,0.6306,-2.7649,-9.3877,3.2028,-2.6723,-1.2121,-0.3185,0.0344,1.0198,5.2028,23.64,14.8,22.02,73.27,18.84,-175.79,2021-03-19 12:20:53:875
1.008,-3.278,-13.7934,1.1217,-3.6741,-9.0229,2.6856,-1.404,1.2649,0.0046,-0.041,0.6432,5.2028,29.73,8.82,25.9,90.21,22.23,-173.33,2021-03-19 12:20:54:374
6.6354,-7.263,-8.3432,0.9687,-4.5916,-8.611,2.9572,-0.6403,-2.6465,-0.0155,0.4354,0.2428,5.2028,26.83,4.51,26.63,102.71,27.92,-173.58,2021-03-19 12:20:54:875
0.6776,-5.4147,-6.2687,1.5089,-5.026,-8.2845,1.4046,-0.2156,-0.0566,0.3388,0.5854,0.2801,5.2028,23.95,0.62,31.17,113.31,30.83,-169.68,2021-03-19 12:20:55:375
-1.3633,-3.9603,-10.5099,3.4109,-5.8981,-7.0532,-0.1633,-0.2627,2.7273,0.0288,0.7168,0.4872,0,19.94,-1.5,35.68,119.1,33.39,-161.41,2021-03-19 12:20:55:874
3.2776,-4.6282,-7.5759,4.0333,-7.5599,-4.7698,-0.6476,0.0708,2.0875,0.8583,-0.2823,0.3525,0,5.8,3.2,37.77,119.87,47.92,-139.9,2021-03-19 12:20:56:375
1.816,-6.8823,-4.9963,3.3239,-8.3667,-3.8885,0.8439,-1.313,-1.0696,0.8913,-0.4051,0.0263,0,1.27,12.17,34.89,124.05,58.56,-139.48,2021-03-19 12:20:56:875
3.6703,-7.9309,-2.9074,3.0311,-8.2122,-4.4207,1.9767,0.8283,-0.9543,-0.3002,0.1987,0.5052,0,7.84,16.18,32.94,112.1,56.87,-145.56,2021-03-19 12:20:57:375
3.2286,-7.4545,-4.0422,3.1429,-7.8533,-4.9617,0.5933,0.4348,-1.0426,0.081,-0.019,0.3345,0,9.62,13.3,33.56,109.4,51.84,-145.77,2021-03-19 12:20:57:875
5.7208,-9.839,-4.3187,3.8911,-7.8573,-4.3923,1.2628,-0.4428,-0.0785,0.0602,1.0176,0.3067,22.0647,9.25,10.48,33.83,115.3,53.12,-145.99,2021-03-19 12:20:58:376
7.3285,-7.8088,-6.2651,3.3281,-8.4404,-3.7221,1.2646,1.6698,-2.7425,-0.3307,1.5888,0.9826,22.0647,2.86,10.33,33.16,117.26,56.01,-137,2021-03-19 12:20:58:875
10.3486,3.8792,-5.0489,8.6928,2.9774,-3.4266,-8.9718,-5.7648,-2.5607,-3.5906,-1.9637,0.5018,22.0647,10.88,-6.02,9.39,122.23,-17.67,-111.51,2021-03-19 12:20:59:374
11.7599,-5.7188,0.0206,9.4513,-1.9473,-1.7468,1.7,1.7177,-5.3516,-2.0225,-0.5328,2.5424,60.3481,-14.49,-8.26,-13.69,238.31,11.45,-100.47,2021-03-19 12:20:59:875
3.2166,-1.1317,10.6899,2.3632,0.0731,9.5174,1.6615,0.1091,0.7663,0.7071,0.1844,-0.9856,60.3481,-5.31,-2.11,-33.76,242.42,-0.43,-13.94,2021-03-19 12:21:00:374
2.1416,2.4679,8.6549,0.4653,1.4056,9.6942,-0.6657,-1.3419,-1.3498,1.7993,-1.8919,-1.339,60.3481,24.85,6.91,-31.45,292.93,-8.24,-2.75,2021-03-19 12:21:00:875
-1.2628,2.7432,8.6908,-1.7532,3.8279,8.8569,0.6754,-0.9852,0.0349,0.1607,-0.0117,-0.463,60.3481,27.3,4.92,-29.71,311.28,-22.98,11.2,2021-03-19 12:21:01:375
-1.5465,2.2392,11.037,-2.0517,4.1061,8.6661,2.3113,-2.7942,2.0344,0.1442,-1.0071,-0.9206,60.3481,25.05,6.36,-30.79,313.54,-22.23,9.33,2021-03-19 12:21:01:874
-6.8362,4.935,8.9649,-3.1983,4.8528,7.8988,-3.0364,-0.7143,1.2144,0.3519,-0.7286,-0.113,60.3481,18.7,7.53,-34.39,348.54,-27.89,21.68,2021-03-19 12:21:02:374
-7.0553,5.2821,2.7427,-7.4478,5.0609,3.8843,0.7015,0.38,-1.1122,0.1635,1.3466,0.069,60.3481,33.24,4.66,-20.7,357.85,-32.39,56.14,2021-03-19 12:21:02:874
