sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.8857;-0.915;9.5503;-1.1034;-0.0603;9.7442;-0.6645;0.8831;0.6781;-1.0842;-1.7585;0.1958;202.1326;-15.23;-27.36;-32.44;145.76;0.35;6.46;5.0;58.625;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;8;2021-03-19 12:15:58:176
-0.8139;1.2541;9.4306;-0.5532;1.0615;9.7333;-1.8757;0.1955;-0.1211;0.2783;-0.5358;1.6936;202.1326;-32.04;-13.65;-31.28;107.71;-6.21;3.25;5.0;55.109;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;508;2021-03-19 12:15:58:676
-10.2466;-11.1079;16.061;0.9801;6.8492;-6.9497;4.7212;-7.9441;-9.0559;-1.0009;-2.9897;-6.4581;202.1326;-28.17;-9.4;12.65;281.52;-44.3;-171.97;5.0;68.75;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;1007;2021-03-19 12:15:59:175
-4.3679;-7.6616;-4.618;3.5523;-8.1039;-4.2283;2.8049;-3.7581;-7.1497;0.0703;-0.1928;-0.358;202.1326;-19.09;29.61;11.43;232.01;69.56;-147.22;5.0;66.611;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;1508;2021-03-19 12:15:59:676
5.0936;-7.1863;-5.2249;4.002;-8.0153;-3.9886;5.1214;-3.4253;3.998;-0.4245;0.0546;0.3329;202.1326;-42.17;21.73;-14.01;261.04;60.17;-134.99;5.0;68.557;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;2008;2021-03-19 12:16:00:176
-4.2698;-0.9342;6.7887;4.4093;-7.049;-5.1999;1.355;1.7379;-0.2957;-0.0296;0.627;-1.0849;202.1326;-37.77;21.05;-8.42;273.7;49.53;-145.6;5.0;69.296;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;2508;2021-03-19 12:16:00:676
2.891;-8.2409;-3.9034;3.493;-7.32;-5.5124;-2.604;-0.1953;-1.0571;0.4249;-0.9775;-0.3583;202.1326;-32.36;20.21;-3.48;274.82;48.28;-147.64;5.0;62.329;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;3007;2021-03-19 12:16:01:175
0.7303;-3.7819;-5.8857;5.8493;-4.9318;-6.1346;0.3805;-3.277;1.8386;-0.8341;0.7256;-0.6069;202.1326;-30.28;20.24;-3.65;274.91;42.33;-133.66;5.0;68.076;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;3508;2021-03-19 12:16:01:676
9.0307;-3.2085;-11.3287;4.4976;-3.8006;-7.842;4.9471;0.3889;0.1034;0.1699;-0.6543;1.6112;202.1326;-33.14;19.89;-2.17;296.01;17.82;-143.68;5.0;68.063;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;4007;2021-03-19 12:16:02:175
2.9664;0.2964;-12.3581;4.7917;-6.5177;-5.5434;-0.6147;-1.6548;-0.1351;-0.2764;2.2525;-0.8897;202.1326;-24.66;31.37;-1.14;303.19;41.65;-139.16;5.0;68.418;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;4508;2021-03-19 12:16:02:676
4.4053;-7.6113;-9.7318;4.79;-6.0241;-6.0776;-1.8168;2.6501;6.0009;-0.2684;-0.7457;0.3904;14.4056;-24.9;31.12;-7.82;307.43;37.9;-141.76;5.0;67.859;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;5007;2021-03-19 12:16:03:175
6.1158;-6.7997;-6.902;3.9465;-7.2097;-5.3494;0.1469;0.8943;-0.6837;0.6124;0.1285;-0.2636;3.669;-22.74;33.97;-4.87;306.09;48.22;-144.72;5.0;63.719;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;5509;2021-03-19 12:16:03:677
1.3241;-8.4672;-3.4078;2.4046;-7.2703;-6.1262;1.5348;-0.9682;0.206;-0.0613;0.178;0.1106;0.0;-25.12;34.76;-5.55;309.77;47.6;-159.32;5.0;63.519;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;6008;2021-03-19 12:16:04:176
1.6927;-4.4224;-6.6925;3.7605;-7.8277;-4.556;0.8833;-0.3469;-1.5476;0.5581;-0.1843;-0.2291;0.0;-25.84;34.13;-8.86;301.16;49.72;-144.15;5.0;65.283;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;6508;2021-03-19 12:16:04:676
3.9683;-9.1136;-5.2333;3.6053;-8.2031;-3.9851;-2.0366;2.4876;-3.2479;0.6821;0.1825;-0.2324;0.0;-28.43;27.16;-12.39;282.76;56.77;-137.86;5.0;65.748;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;7007;2021-03-19 12:16:05:175
5.8202;-8.7976;-6.8361;4.0295;-8.3343;-3.2362;0.2465;0.3597;-0.6973;0.2099;-0.6528;0.2343;11.338;-26.95;22.55;-12.46;270.89;57.6;-127.5;5.0;67.177;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;7507;2021-03-19 12:16:05:675
5.6873;-8.2948;-4.8059;3.9131;-8.397;-3.2168;0.1547;0.424;-1.8847;0.0993;-0.1901;0.113;11.338;-29.62;21.44;-12.44;264.96;60.54;-130.99;5.0;68.533;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;8008;2021-03-19 12:16:06:176
5.2623;-8.0985;-4.1332;4.0709;-8.4369;-2.9012;-0.6232;0.6929;-1.901;0.6604;0.0372;0.2746;11.338;-32.36;20.15;-14.16;260.09;59.35;-125.48;5.0;63.315;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;8508;2021-03-19 12:16:06:676
7.3871;-10.4124;0.2432;4.6393;-8.3266;-2.3056;2.838;-0.1917;-3.7975;0.1677;0.5225;0.2361;11.338;-36.11;18.68;-11.84;244.44;58.11;-116.43;5.0;66.548;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;9008;2021-03-19 12:16:07:176
12.0736;-8.7042;-5.1267;4.2932;-8.0159;-3.6721;5.5755;2.1772;0.6337;-0.8011;-0.4463;-0.1619;11.338;-41.41;15.7;-2.19;232.2;57.88;-124.33;5.0;67.952;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;9508;2021-03-19 12:16:07:676
17.1239;-14.2561;-8.6245;3.8828;-8.1343;-3.8636;-13.4027;7.0713;3.2385;-1.0381;0.2977;-3.0149;118.7042;-42.49;12.84;15.36;215.93;56.04;-134.86;5.0;70.589;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;10008;2021-03-19 12:16:08:176
2.2769;-8.9759;0.3306;4.0441;-6.5751;-6.0484;1.0573;1.5035;2.036;-1.2736;0.4816;-0.2492;118.7042;-31.01;19.89;24.15;223.31;51.23;-150.02;5.0;68.471;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;10508;2021-03-19 12:16:08:676
-5.3998;-2.1946;-10.4452;2.6923;-8.6851;-3.6729;-3.5538;5.696;-3.1697;0.822;-3.5129;0.1982;118.7042;-33.74;17.45;17.75;224.12;57.94;-147.19;5.0;68.145;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;11008;2021-03-19 12:16:09:176
-6.6052;-4.4978;6.7731;3.607;-6.9721;-5.8779;2.2819;-1.8118;-0.3453;-0.3677;-1.1537;0.2343;118.7042;-35.83;8.79;15.81;215.51;42.89;-133.7;5.0;68.494;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;11508;2021-03-19 12:16:09:676
1.913;-4.1722;0.8705;4.1034;-7.5243;-4.7662;2.4112;2.8249;-4.1472;-0.0021;0.3212;-0.4829;6.7366;-35.96;4.01;23.8;206.53;54.09;-144.27;5.0;67.767;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;12008;2021-03-19 12:16:10:176
3.1867;-4.2859;-10.7792;3.3842;-7.8277;-4.842;-3.1117;0.0172;-1.226;0.7261;-0.6516;0.4658;6.7366;-32.48;1.15;29.71;192.34;49.14;-142.36;5.0;67.996;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;12508;2021-03-19 12:16:10:676
5.4036;-12.1589;-4.7521;3.1535;-7.3136;-5.7216;0.0755;-1.5035;0.1991;-0.3402;0.6746;-0.2944;6.7366;-31.98;6.01;30.93;205.19;48.23;-151.14;5.0;67.883;35.958256;14.363136;139.6;NaN;;20.215;;0 / 19;13008;2021-03-19 12:16:11:176
3.2645;-9.2668;-3.9967;3.0748;-7.3397;-5.731;3.8489;0.4482;3.6403;-0.2709;0.7113;1.2996;6.7366;-32.39;7.88;29.34;203.28;50.3;-147.73;5.0;66.739;35.95836;14.363105;137.5;NaN;;52.4;;0 / 19;13508;2021-03-19 12:16:11:676
3.5697;-5.8265;-4.2876;3.8014;-7.2852;-5.3521;-0.5149;2.9314;-0.9397;0.0645;-0.5532;-0.241;0.0;-26.71;3.77;30.36;193.54;46.41;-146.98;5.0;64.508;35.95836;14.363105;137.5;NaN;;52.4;;0 / 19;14007;2021-03-19 12:16:12:175
3.9815;-6.1976;-4.0458;3.7129;-7.3626;-5.3083;-3.5648;0.753;2.7559;-0.2171;-1.9488;-0.6115;0.0;-32.38;5.36;27.13;196.94;47.87;-141.52;5.0;68.783;35.95836;14.363105;137.5;NaN;;52.4;;0 / 19;14508;2021-03-19 12:16:12:676
2.0471;-9.8701;-3.877;3.6108;-7.5052;-5.1773;4.3424;-2.2559;0.3348;0.478;-0.6696;1.0382;0.0;-30.32;5.1;24.73;201.92;49.94;-145.11;5.0;68.388;35.95836;14.363105;137.5;NaN;;52.4;;0 / 19;15008;2021-03-19 12:16:13:176
2.4636;-9.2931;-4.6587;3.7832;-6.7467;-6.0283;4.8067;-3.4063;-1.873;-0.1875;0.0069;0.0999;0.0;-31.29;2.42;25.76;202.14;39.66;-143.68;5.0;68.792;35.95836;14.363105;137.5;NaN;;52.4;;0 / 19;15508;2021-03-19 12:16:13:676
13.2922;-9.4823;-4.8622;3.8292;-6.832;-5.9018;1.5589;-0.8685;-0.0306;-0.2666;0.4907;1.0342;0.0;-26.05;-2.88;29.87;187.51;40.18;-144.38;5.0;69.549;35.95836;14.363105;137.5;NaN;;52.4;;0 / 19;16008;2021-03-19 12:16:14:176
7.0495;-6.2981;-9.3416;3.9774;-6.9087;-5.7115;-8.9429;1.5497;3.9834;-0.9731;1.5426;-0.3735;0.0;-31.92;-0.57;29.52;202.69;43.7;-149.64;5.0;70.64;35.95836;14.363105;137.5;NaN;;52.4;;0 / 19;16508;2021-03-19 12:16:14:676
