ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms,YYYY-MO-DD HH-MI-SS_SSS
-1.0827,1.6564,9.5466,-1.1647,1.6974,9.5881,0.1056,-0.0106,-0.1247,-0.0245,-0.0724,0.0138,32,2021-03-31 13:00:59:224
-1.08,2.0056,10.5779,-1.2829,1.9344,9.5279,0.1932,-0.8318,0.9773,0.7676,0.6196,0.2364,532,2021-03-31 13:00:59:724
0.1631,3.1856,9.9226,-0.7412,2.5471,9.441,1.2646,0.8542,-0.303,-0.3939,-0.5291,-0.3854,1032,2021-03-31 13:01:00:224
-2.6205,3.102,7.1937,-2.5802,3.8844,8.6269,0.0076,-0.71,-1.4657,-0.2044,-1.0487,-0.6122,1532,2021-03-31 13:01:00:724
-1.406,4.4798,5.561,-3.6305,5.0952,7.5517,1.2786,-0.9528,-2.7944,2.1719,0.8677,1.5693,2032,2021-03-31 13:01:01:224
-4.7034,4.6485,6.6415,-4.6661,4.6574,7.2598,0.1819,-0.0266,-0.108,-0.0245,0.2672,-0.0021,2533,2021-03-31 13:01:01:725
-2.8261,3.7567,8.3239,-2.5909,4.32,8.4139,0.5043,-0.8163,0.7347,-0.3503,-1.5491,-0.4056,3034,2021-03-31 13:01:02:226
-1.6106,-2.0191,8.0249,-4.3541,3.0804,8.2293,2.9394,-1.7833,-2.6591,1.0423,-0.115,1.0678,3533,2021-03-31 13:01:02:725
-11.6229,-4.6255,6.9128,-6.5803,-4.2507,5.8991,-3.2394,-0.1983,1.6307,0.6122,2.1612,1.2914,4032,2021-03-31 13:01:03:224
-3.451,-10.9096,2.4543,-2.9001,-8.7754,3.279,-0.2381,-1.4707,3.5698,-1.4767,-2.1389,-5.6757,4537,2021-03-31 13:01:03:729
1.3009,-10.4409,3.5206,0.1356,-9.0285,3.8258,0.3822,-1.3485,-0.0677,-1.2435,-2.2528,-3.1993,5032,2021-03-31 13:01:04:224
0.1615,-9.8313,1.8905,-1.5626,-9.5434,1.6282,1.685,-0.3243,-0.042,-0.28,1.4256,-0.1927,5533,2021-03-31 13:01:04:725
-1.4555,-8.7688,0.6249,-1.235,-9.6545,1.1977,-0.0946,0.8858,-0.5501,0.083,0.3524,-0.0788,6033,2021-03-31 13:01:05:225
-1.0839,-10.0334,1.161,-1.0021,-9.6121,1.6648,-0.0968,-0.3814,-0.3457,0.0916,-1.1424,0.3801,6533,2021-03-31 13:01:05:725
0.3704,-9.7007,2.411,-0.6313,-9.2342,3.2403,0.6268,-0.3794,-0.6687,-0.083,-1.0018,0.3556,7032,2021-03-31 13:01:06:224
0.5039,-9.2521,3.6909,-0.7539,-8.9908,3.8426,1.2188,-0.2666,-0.193,-0.1054,-0.346,0.2438,7533,2021-03-31 13:01:06:725
-0.6688,-8.5094,3.0641,-1.2442,-9.1258,3.3677,0.605,0.2596,-0.1054,0.0948,0.1224,-0.1735,8032,2021-03-31 13:01:07:224
-2.2056,-9.368,2.4636,-2.6437,-9.0547,2.682,-2.549,0.4255,-0.1523,0.1256,0.2385,1.0348,8532,2021-03-31 13:01:07:724
-4.5413,-8.9326,1.1912,-3.0401,-8.8914,2.8051,-0.4992,0.1092,-3.2795,-0.5451,0.3577,0.9262,9032,2021-03-31 13:01:08:224
-4.1557,-7.4182,1.8158,-4.4108,-8.5796,1.762,-0.1195,1.2017,-0.0935,-0.23,-0.6015,-0.6835,9532,2021-03-31 13:01:08:724
0.9846,-9.8148,1.8211,-2.0942,-9.3958,1.8716,0.1132,-0.7932,-2.254,-0.5653,-1.2052,-0.2534,10032,2021-03-31 13:01:09:224
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,10669,2021-03-31 13:01:09:861
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,10670,2021-03-31 13:01:09:862
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,10671,2021-03-31 13:01:09:863
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,10676,2021-03-31 13:01:09:868
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,10678,2021-03-31 13:01:09:870
0.5144,-9.9272,-0.5137,-1.0831,-9.7389,0.3868,0.583,0.3343,-0.4457,0.2225,1.1136,-0.1107,10681,2021-03-31 13:01:09:873
-4.0683,-9.656,1.1456,3.5603,-7.6806,-4.9499,-7.6202,-1.969,6.0874,-1.0583,-1.7215,-0.7538,11097,2021-03-31 13:01:10:289
-4.3366,-8.9577,1.7994,-2.8841,-9.318,1.0131,-1.4405,0.3645,0.7716,0.6462,-0.0894,0.6175,11597,2021-03-31 13:01:10:789
0.1578,-20.4184,0.9918,-2.9442,-9.083,2.2359,3.0913,-11.3343,-1.2553,-0.6058,-0.9656,-0.4802,12098,2021-03-31 13:01:11:290
-0.0829,-11.7525,2.9589,-2.8533,-9.3004,1.2368,2.7846,-2.4478,1.7051,1.2126,0.1938,0.5728,12597,2021-03-31 13:01:11:789
-1.4806,-10.0296,2.34,-2.693,-9.4026,0.7134,2.2713,-0.8257,1.8166,-0.8762,-0.2715,0.1874,13097,2021-03-31 13:01:12:289
-1.8484,-9.8798,0.8402,-1.3975,-9.6954,0.4641,-0.2696,0.1241,0.1438,-0.1906,-0.2555,0.016,13597,2021-03-31 13:01:12:789
-1.8502,-8.0842,-2.2887,-1.3642,-9.1193,3.3387,1.8938,-0.599,3.2414,0.7729,1.4085,-0.6665,14097,2021-03-31 13:01:13:289
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14676,2021-03-31 13:01:13:868
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14677,2021-03-31 13:01:13:869
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14677,2021-03-31 13:01:13:869
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14678,2021-03-31 13:01:13:870
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14678,2021-03-31 13:01:13:870
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14679,2021-03-31 13:01:13:871
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14679,2021-03-31 13:01:13:871
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14679,2021-03-31 13:01:13:871
-4.1749,-9.5051,-1.5705,-1.5517,-9.6778,-0.318,-2.312,0.6949,2.191,-0.7772,3.0396,-0.4834,14679,2021-03-31 13:01:13:871
-1.6039,-9.7042,0.8,-1.6475,-9.6367,0.7678,0.1864,-0.1012,-0.1401,0.1171,0.3258,0.0394,15106,2021-03-31 13:01:14:298
-1.6044,-9.7257,0.4588,-1.8118,-9.6198,0.5881,0.2133,-0.0985,-0.1468,0.0149,0.0671,0.0564,15606,2021-03-31 13:01:14:798
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415986,2021-03-31 13:07:55:178
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415987,2021-03-31 13:07:55:179
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415987,2021-03-31 13:07:55:179
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415988,2021-03-31 13:07:55:180
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415988,2021-03-31 13:07:55:180
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415989,2021-03-31 13:07:55:181
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415989,2021-03-31 13:07:55:181
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415990,2021-03-31 13:07:55:182
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415991,2021-03-31 13:07:55:183
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415992,2021-03-31 13:07:55:184
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415993,2021-03-31 13:07:55:185
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415994,2021-03-31 13:07:55:186
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415995,2021-03-31 13:07:55:187
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415996,2021-03-31 13:07:55:188
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415996,2021-03-31 13:07:55:188
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,415998,2021-03-31 13:07:55:190
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416002,2021-03-31 13:07:55:194
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416004,2021-03-31 13:07:55:196
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416013,2021-03-31 13:07:55:205
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416026,2021-03-31 13:07:55:218
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416027,2021-03-31 13:07:55:219
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416040,2021-03-31 13:07:55:232
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416041,2021-03-31 13:07:55:233
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416041,2021-03-31 13:07:55:233
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416051,2021-03-31 13:07:55:243
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416051,2021-03-31 13:07:55:243
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416051,2021-03-31 13:07:55:243
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416051,2021-03-31 13:07:55:243
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416052,2021-03-31 13:07:55:244
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416052,2021-03-31 13:07:55:244
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416052,2021-03-31 13:07:55:244
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416052,2021-03-31 13:07:55:244
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416053,2021-03-31 13:07:55:245
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416057,2021-03-31 13:07:55:249
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416057,2021-03-31 13:07:55:249
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416057,2021-03-31 13:07:55:249
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416058,2021-03-31 13:07:55:250
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416059,2021-03-31 13:07:55:251
-1.8518,-9.7101,0.7815,-1.6819,-9.6331,0.7376,-0.1616,-0.0656,0.037,-0.0149,-0.0692,0.0192,416072,2021-03-31 13:07:55:264
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416081,2021-03-31 13:07:55:273
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416081,2021-03-31 13:07:55:273
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416081,2021-03-31 13:07:55:273
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416081,2021-03-31 13:07:55:273
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416082,2021-03-31 13:07:55:274
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416082,2021-03-31 13:07:55:274
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416082,2021-03-31 13:07:55:274
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416082,2021-03-31 13:07:55:274
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416083,2021-03-31 13:07:55:275
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416083,2021-03-31 13:07:55:275
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416083,2021-03-31 13:07:55:275
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416083,2021-03-31 13:07:55:275
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416084,2021-03-31 13:07:55:276
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416085,2021-03-31 13:07:55:277
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416091,2021-03-31 13:07:55:283
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416091,2021-03-31 13:07:55:283
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416095,2021-03-31 13:07:55:287
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416095,2021-03-31 13:07:55:287
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416096,2021-03-31 13:07:55:288
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416097,2021-03-31 13:07:55:289
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416098,2021-03-31 13:07:55:290
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416099,2021-03-31 13:07:55:291
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416100,2021-03-31 13:07:55:292
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416100,2021-03-31 13:07:55:292
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416100,2021-03-31 13:07:55:292
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416100,2021-03-31 13:07:55:292
-1.8518,-9.7101,0.7815,-1.9681,3.563,8.9219,0.0754,-0.2876,0.8356,-0.0149,-0.0692,0.0192,416100,2021-03-31 13:07:55:292
